timestamp_sink,timestamp_node,payload,delay_ms
2026-03-04 01:00:32.323,2026-03-04 01:00:25.786,N7041-GB7B,6537.000
2026-03-04 01:00:32.423,2026-03-04 01:00:25.887,N7042-5CG1,6536.000
2026-03-04 01:00:32.523,2026-03-04 01:00:25.989,N7043-C50E,6534.000
2026-03-04 01:00:32.623,2026-03-04 01:00:26.090,N7044-F7I4,6533.000
2026-03-04 01:00:32.723,2026-03-04 01:00:26.192,N7045-8DEE,6531.000
2026-03-04 01:00:32.834,2026-03-04 01:00:26.294,N7046-A5DI,6540.000
2026-03-04 01:00:32.974,2026-03-04 01:00:26.395,N7047-786J,6579.000
2026-03-04 01:00:33.024,2026-03-04 01:00:26.497,N7048-13J0,6527.000
2026-03-04 01:00:33.134,2026-03-04 01:00:26.599,N7049-F2E7,6535.000
2026-03-04 01:00:33.274,2026-03-04 01:00:26.700,N7050-B187,6574.000
2026-03-04 01:00:33.325,2026-03-04 01:00:26.802,N7051-H5J5,6523.000
2026-03-04 01:00:33.445,2026-03-04 01:00:26.904,N7052-H506,6541.000
2026-03-04 01:00:33.575,2026-03-04 01:00:27.005,N7053-88H2,6570.000
2026-03-04 01:00:33.675,2026-03-04 01:00:27.107,N7054-2JEH,6568.000
2026-03-04 01:00:33.775,2026-03-04 01:00:27.209,N7055-AFE9,6566.000
2026-03-04 01:00:33.875,2026-03-04 01:00:27.310,N7056-CDI0,6565.000
2026-03-04 01:00:33.975,2026-03-04 01:00:27.412,N7057-0H9B,6563.000
2026-03-04 01:00:34.076,2026-03-04 01:00:27.514,N7058-8E2F,6562.000
2026-03-04 01:00:34.176,2026-03-04 01:00:27.615,N7059-848J,6561.000
2026-03-04 01:00:34.276,2026-03-04 01:00:27.717,N7060-7815,6559.000
2026-03-04 01:00:34.376,2026-03-04 01:00:27.819,N7061-G6EH,6557.000
2026-03-04 01:00:34.476,2026-03-04 01:00:27.920,N7062-D031,6556.000
2026-03-04 01:00:34.577,2026-03-04 01:00:28.022,N7063-6D6B,6555.000
2026-03-04 01:00:34.677,2026-03-04 01:00:28.124,N7064-9J1E,6553.000
2026-03-04 01:00:34.777,2026-03-04 01:00:28.225,N7065-I2J1,6552.000
2026-03-04 01:00:34.877,2026-03-04 01:00:28.327,N7066-8ADC,6550.000
2026-03-04 01:00:34.977,2026-03-04 01:00:28.428,N7067-EAI4,6549.000
2026-03-04 01:00:35.077,2026-03-04 01:00:28.530,N7068-0BC3,6547.000
2026-03-04 01:00:35.178,2026-03-04 01:00:28.632,N7069-EJJ0,6546.000
2026-03-04 01:00:35.278,2026-03-04 01:00:28.733,N7070-22C0,6545.000
2026-03-04 01:00:35.378,2026-03-04 01:00:28.835,N7071-0BB5,6543.000
2026-03-04 01:00:35.478,2026-03-04 01:00:28.937,N7072-GH24,6541.000
2026-03-04 01:00:35.578,2026-03-04 01:00:29.038,N7073-4FC0,6540.000
2026-03-04 01:00:35.679,2026-03-04 01:00:29.140,N7074-FB21,6539.000
2026-03-04 01:00:35.779,2026-03-04 01:00:29.241,N7075-DHDI,6538.000
2026-03-04 01:00:35.879,2026-03-04 01:00:29.343,N7076-F85H,6536.000
2026-03-04 01:00:35.979,2026-03-04 01:00:29.444,N7077-4FE8,6535.000
2026-03-04 01:00:36.080,2026-03-04 01:00:29.546,N7078-6G5I,6534.000
2026-03-04 01:00:36.180,2026-03-04 01:00:29.647,N7079-6210,6533.000
2026-03-04 01:00:36.290,2026-03-04 01:00:29.749,N7080-JD3E,6541.000
2026-03-04 01:00:36.380,2026-03-04 01:00:29.850,N7081-CHJB,6530.000
2026-03-04 01:00:36.480,2026-03-04 01:00:29.952,N7082-D161,6528.000
2026-03-04 01:00:36.631,2026-03-04 01:00:30.053,N7083-53B4,6578.000
2026-03-04 01:00:36.681,2026-03-04 01:00:30.155,N7084-6758,6526.000
2026-03-04 01:00:36.781,2026-03-04 01:00:30.256,N7085-5EEC,6525.000
2026-03-04 01:00:36.931,2026-03-04 01:00:30.358,N7086-A55A,6573.000
2026-03-04 01:00:37.031,2026-03-04 01:00:30.459,N7087-G503,6572.000
2026-03-04 01:00:37.082,2026-03-04 01:00:30.561,N7088-C13C,6521.000
2026-03-04 01:00:37.232,2026-03-04 01:00:30.662,N7089-0823,6570.000
2026-03-04 01:00:37.332,2026-03-04 01:00:30.764,N7090-599F,6568.000
2026-03-04 01:00:37.432,2026-03-04 01:00:30.865,N7091-7GAH,6567.000
2026-03-04 01:00:37.532,2026-03-04 01:00:30.967,N7092-5J58,6565.000
2026-03-04 01:00:37.632,2026-03-04 01:00:31.068,N7093-DC4C,6564.000
2026-03-04 01:00:37.733,2026-03-04 01:00:31.170,N7094-H9A1,6563.000
2026-03-04 01:00:37.833,2026-03-04 01:00:31.271,N7095-2483,6562.000
2026-03-04 01:00:37.933,2026-03-04 01:00:31.373,N7096-I954,6560.000
2026-03-04 01:00:38.033,2026-03-04 01:00:31.474,N7097-66J6,6559.000
2026-03-04 01:00:38.133,2026-03-04 01:00:31.576,N7098-E3IB,6557.000
2026-03-04 01:00:38.234,2026-03-04 01:00:31.677,N7099-E85D,6557.000
2026-03-04 01:00:38.334,2026-03-04 01:00:31.779,N7100-4F01,6555.000
2026-03-04 01:00:38.434,2026-03-04 01:00:31.880,N7101-3910,6554.000
2026-03-04 01:00:38.534,2026-03-04 01:00:31.982,N7102-A0DB,6552.000
2026-03-04 01:00:38.634,2026-03-04 01:00:32.083,N7103-81IC,6551.000
2026-03-04 01:00:38.735,2026-03-04 01:00:32.185,N7104-9324,6550.000
2026-03-04 01:00:38.835,2026-03-04 01:00:32.286,N7105-43HC,6549.000
2026-03-04 01:00:38.935,2026-03-04 01:00:32.388,N7106-1541,6547.000
2026-03-04 01:00:39.035,2026-03-04 01:00:32.489,N7107-4II2,6546.000
2026-03-04 01:00:39.136,2026-03-04 01:00:32.590,N7108-2243,6546.000
2026-03-04 01:00:39.236,2026-03-04 01:00:32.692,N7109-1BJ0,6544.000
2026-03-04 01:00:39.336,2026-03-04 01:00:32.794,N7110-I7JE,6542.000
2026-03-04 01:00:39.436,2026-03-04 01:00:32.895,N7111-6J0H,6541.000
2026-03-04 01:00:39.536,2026-03-04 01:00:32.996,N7112-5H08,6540.000
2026-03-04 01:00:39.636,2026-03-04 01:00:33.098,N7113-3EJ5,6538.000
2026-03-04 01:00:39.737,2026-03-04 01:00:33.199,N7114-3B9A,6538.000
2026-03-04 01:00:39.837,2026-03-04 01:00:33.301,N7115-3554,6536.000
2026-03-04 01:00:39.937,2026-03-04 01:00:33.402,N7116-H7E0,6535.000
2026-03-04 01:00:40.037,2026-03-04 01:00:33.504,N7117-EFDB,6533.000
